序号	汉字	字频
1.	不	26609
2.	人	24044
3.	山	19269
4.	一	17560
5.	日	16911
6.	风	15934
7.	无	15841
8.	中	14867
9.	云	13865
10.	上	13541
11.	有	13433
12.	春	13097
13.	天	12741
14.	何	12375
15.	来	12328
16.	花	12123
17.	月	11944
18.	时	11793
19.	水	11608
20.	相	10822
21.	长	10158
22.	君	10081
23.	年	9994
24.	归	9988
25.	为	9747
26.	秋	9710
27.	生	9616
28.	自	9483
29.	行	9282
30.	见	9177
31.	江	9081
32.	白	9066
33.	心	8998
34.	夜	8948
35.	知	8850
36.	如	8722
37.	此	8300
38.	得	8060
39.	下	8043
40.	清	7866
41.	去	7830
42.	在	7648
43.	高	7643
44.	南	7626
45.	空	7551
46.	明	7508
47.	门	7316
48.	子	7235
49.	三	7195
50.	里	7187
51.	未	7013
52.	客	7004
53.	金	6966
54.	事	6905
55.	处	6883
56.	道	6740
57.	作	6734
58.	送	6694
59.	青	6686
60.	东	6648
61.	多	6620
62.	歌	6609
63.	别	6584
64.	寒	6548
65.	雨	6525
66.	是	6465
67.	玉	6393
68.	落	6356
69.	家	6312
70.	城	6266
71.	声	6254
72.	远	6127
73.	新	6110
74.	千	6105
75.	朝	6082
76.	出	6050
77.	前	6015
78.	今	6006
79.	西	5969
80.	入	5968
81.	书	5886
82.	与	5886
83.	游	5809
84.	路	5808
85.	万	5803
86.	思	5738
87.	诗	5696
88.	阳	5681
89.	草	5620
90.	寄	5603
91.	飞	5600
92.	马	5577
93.	十	5522
94.	开	5475
95.	应	5466
96.	树	5439
97.	酒	5436
98.	同	5422
99.	深	5420
100.	我	5417
101.	尽	5405
102.	流	5378
103.	将	5363
104.	望	5327
105.	还	5274
106.	烟	5271
107.	回	5257
108.	闻	5163
109.	和	5125
110.	已	5118
111.	地	5085
112.	成	5076
113.	闲	5024
114.	欲	5009
115.	色	5006
116.	独	4989
117.	重	4975
118.	石	4951
119.	谁	4950
120.	雪	4897
121.	公	4878
122.	光	4820
123.	可	4801
124.	王	4784
125.	从	4708
126.	林	4694
127.	古	4689
128.	向	4625
129.	更	4613
130.	二	4609
131.	楼	4562
132.	海	4555
133.	州	4548
134.	后	4484
135.	看	4483
136.	香	4458
137.	身	4438
138.	老	4428
139.	旧	4397
140.	满	4391
141.	情	4371
142.	愁	4366
143.	首	4240
144.	衣	4228
145.	龙	4197
146.	头	4183
147.	之	4165
148.	方	4158
149.	红	4151
150.	过	4151
151.	五	4096
152.	难	4068
153.	黄	4004
154.	尘	3979
155.	外	3968
156.	平	3955
157.	复	3930
158.	名	3924
159.	曲	3905
160.	大	3875
161.	言	3869
162.	台	3854
163.	乐	3809
164.	莫	3807
165.	能	3790
166.	似	3772
167.	仙	3770
168.	分	3769
169.	北	3752
170.	安	3743
171.	犹	3735
172.	到	3689
173.	华	3688
174.	初	3683
175.	发	3683
176.	宫	3660
177.	故	3659
178.	居	3642
179.	松	3635
180.	叶	3615
181.	离	3588
182.	当	3586
183.	晚	3575
184.	少	3573
185.	气	3564
186.	鸟	3536
187.	起	3514
188.	竹	3509
189.	间	3486
190.	边	3419
191.	题	3414
192.	几	3408
193.	怀	3398
194.	意	3395
195.	四	3388
196.	亦	3386
197.	吟	3379
198.	梦	3351
199.	柳	3340
200.	百	3311
201.	暮	3305
202.	九	3272
203.	然	3270
204.	国	3265
205.	文	3262
206.	非	3253
207.	辞	3229
208.	赠	3228
209.	留	3226
210.	醉	3221
211.	因	3219
212.	池	3216
213.	汉	3180
214.	随	3161
215.	河	3151
216.	所	3145
217.	野	3115
218.	枝	3102
219.	神	3101
220.	阴	3056
221.	孤	3055
222.	寺	3044
223.	泉	3023
224.	关	3018
225.	逢	3015
226.	露	2997
227.	临	2973
228.	终	2960
229.	岁	2946
230.	溪	2936
231.	坐	2929
232.	微	2914
233.	李	2912
234.	世	2905
235.	幽	2878
236.	使	2871
237.	问	2861
238.	小	2855
239.	登	2847
240.	若	2835
241.	碧	2803
242.	霜	2797
243.	绿	2787
244.	经	2784
245.	轻	2772
246.	好	2772
247.	士	2766
248.	乡	2755
249.	宿	2741
250.	波	2735
251.	芳	2728
252.	连	2721
253.	半	2705
254.	庭	2699
255.	忆	2687
256.	以	2629
257.	期	2621
258.	官	2621
259.	吹	2616
260.	早	2601
261.	对	2597
262.	先	2588
263.	陵	2580
264.	才	2578
265.	近	2574
266.	太	2569
267.	影	2564
268.	共	2562
269.	寻	2558
270.	翠	2541
271.	岂	2523
272.	两	2523
273.	正	2521
274.	须	2513
275.	至	2510
276.	郎	2501
277.	双	2499
278.	舟	2499
279.	晓	2496
280.	亭	2493
281.	照	2486
282.	断	2469
283.	惊	2467
284.	遥	2434
285.	者	2430
286.	残	2417
287.	夕	2397
288.	鹤	2389
289.	曾	2383
290.	苦	2375
291.	主	2357
292.	常	2356
293.	动	2353
294.	物	2346
295.	沙	2333
296.	却	2329
297.	垂	2324
298.	楚	2324
299.	峰	2312
300.	木	2302
301.	静	2301
302.	悲	2291
303.	僧	2288
304.	园	2283
305.	紫	2274
306.	又	2232
307.	恩	2219
308.	凤	2217
309.	女	2216
310.	笑	2205
311.	语	2203
312.	病	2203
313.	听	2202
314.	师	2196
315.	川	2192
316.	绝	2191
317.	鸣	2189
318.	堂	2179
319.	景	2162
320.	兴	2161
321.	星	2157
322.	鱼	2156
323.	浮	2154
324.	真	2154
