序号	汉字	字频
1.	不	25784
2.	人	20499
3.	山	15625
4.	无	15359
5.	风	15294
6.	一	14920
7.	日	14560
8.	云	12989
9.	有	12355
10.	何	12081
11.	来	11966
12.	天	11756
13.	中	11139
14.	时	11043
15.	花	11031
16.	上	10853
17.	水	10779
18.	春	10741
19.	月	10640
20.	相	9432
21.	年	9287
22.	为	9247
23.	生	9149
24.	君	9075
25.	长	8914
26.	心	8797
27.	自	8785
28.	如	8544
29.	知	8482
30.	白	8308
31.	归	8151
32.	秋	7916
33.	此	7894
34.	见	7776
35.	行	7739
36.	去	7618
37.	清	7341
38.	夜	7319
39.	江	7304
40.	在	7235
41.	得	7217
42.	空	7164
43.	下	7132
44.	高	7058
45.	未	6817
46.	里	6800
47.	明	6576
48.	多	6456
49.	金	6429
50.	门	6419
51.	处	6329
52.	是	6320
53.	客	6310
54.	青	6300
55.	寒	6151
56.	声	6087
57.	落	6049
58.	子	6026
59.	玉	5951
60.	千	5898
61.	雨	5896
62.	家	5869
63.	三	5834
64.	今	5804
65.	事	5776
66.	远	5772
67.	道	5699
68.	前	5675
69.	南	5596
70.	万	5583
71.	朝	5575
72.	出	5479
73.	路	5419
74.	飞	5363
75.	我	5358
76.	东	5350
77.	入	5340
78.	城	5311
79.	草	5310
80.	深	5287
81.	尽	5278
82.	与	5236
83.	新	5211
84.	烟	5165
85.	流	5114
86.	开	5103
87.	树	5099
88.	思	5090
89.	别	4996
90.	已	4938
91.	酒	4913
92.	回	4897
93.	地	4892
94.	欲	4879
95.	马	4878
96.	谁	4850
97.	西	4845
98.	色	4843
99.	将	4806
100.	还	4804
101.	应	4738
102.	独	4670
103.	闲	4652
104.	可	4613
105.	成	4595
106.	闻	4558
107.	更	4508
108.	向	4496
109.	光	4476
110.	重	4461
111.	身	4404
112.	同	4390
113.	雪	4389
114.	阳	4343
115.	石	4301
116.	香	4298
117.	望	4278
118.	看	4269
119.	满	4256
120.	愁	4238
121.	海	4165
122.	游	4148
123.	老	4143
124.	书	4121
125.	情	4069
126.	衣	4066
127.	从	4050
128.	林	4025
129.	古	4015
130.	头	4011
131.	红	4009
132.	难	3930
133.	歌	3913
134.	尘	3882
135.	楼	3785
136.	方	3779
137.	莫	3734
138.	旧	3726
139.	龙	3720
140.	名	3719
141.	复	3717
142.	似	3707
143.	黄	3692
144.	能	3690
145.	犹	3669
146.	分	3592
147.	后	3568
148.	到	3557
149.	作	3500
150.	当	3473
151.	平	3465
152.	叶	3449
153.	过	3440
154.	鸟	3427
155.	气	3424
156.	十	3423
157.	间	3413
158.	言	3403
159.	几	3343
160.	仙	3342
161.	发	3331
162.	离	3320
163.	亦	3317
164.	松	3299
165.	诗	3295
166.	初	3252
167.	王	3251
168.	起	3217
169.	五	3184
170.	北	3177
171.	外	3174
172.	意	3174
173.	竹	3154
174.	台	3147
175.	非	3142
176.	华	3124
177.	边	3115
178.	百	3099
179.	公	3077
180.	随	3073
181.	故	3067
182.	大	3063
183.	然	3058
184.	梦	3045
185.	暮	3028
186.	宫	3006
187.	安	2997
188.	吟	2988
189.	醉	2944
190.	枝	2926
191.	少	2925
192.	孤	2906
193.	晚	2892
194.	野	2886
195.	国	2868
196.	露	2865
197.	之	2850
198.	柳	2850
199.	阴	2825
200.	世	2823
201.	终	2806
202.	神	2800
203.	汉	2794
204.	文	2788
205.	所	2718
206.	坐	2716
207.	霜	2715
208.	碧	2710
209.	好	2702
210.	轻	2690
211.	逢	2690
212.	若	2686
213.	绿	2684
214.	波	2671
215.	关	2664
216.	四	2656
217.	留	2655
218.	幽	2655
219.	问	2646
220.	临	2643
221.	半	2641
222.	微	2619
223.	河	2613
224.	泉	2606
225.	岁	2592
226.	连	2575
227.	芳	2563
228.	池	2562
229.	乡	2554
230.	岂	2487
231.	须	2486
232.	影	2485
233.	小	2480
234.	共	2471
235.	近	2466
236.	九	2462
237.	期	2453
238.	翠	2447
239.	因	2442
240.	惊	2403
241.	两	2399
242.	断	2392
243.	经	2387
244.	溪	2383
245.	庭	2379
246.	曲	2371
247.	照	2371
248.	双	2351
249.	吹	2339
250.	残	2327
251.	乐	2323
252.	正	2294
253.	曾	2293
254.	动	2290
255.	遥	2288
256.	忆	2268
257.	寻	2267
258.	晓	2265
259.	对	2239
260.	却	2225
261.	舟	2216
262.	静	2212
263.	物	2211
264.	苦	2207
265.	居	2203
266.	垂	2201
267.	悲	2182
268.	鹤	2182
269.	笑	2168
270.	木	2154
271.	先	2146
272.	峰	2135
273.	沙	2133
274.	楚	2127
275.	才	2124
276.	者	2117
277.	又	2091
278.	紫	2090
279.	夕	2071
280.	依	2062
281.	鸣	2056
282.	星	2055
283.	语	2054
284.	和	2049
285.	只	2049
286.	苍	2049
287.	泪	2046
288.	久	2043
289.	以	2032
290.	常	2032
291.	唯	2032
292.	凤	2028
293.	鱼	2027
294.	官	2012
295.	至	2011
296.	车	2009
297.	浮	2006
298.	怜	2006
299.	忽	2006
300.	二	1982
301.	景	1978
302.	通	1975
303.	登	1964
304.	宿	1962
305.	数	1957
306.	早	1956
307.	且	1951
308.	听	1936
309.	堪	1929
310.	雁	1924
311.	传	1922
312.	真	1918
313.	恩	1918
314.	合	1908
315.	女	1908
316.	爱	1907
317.	散	1893
318.	陵	1892
319.	转	1887
320.	送	1876
321.	寂	1876
322.	虚	1863
323.	绝	1862
324.	病	1862
325.	怀	1856
326.	恨	1850
327.	丹	1842
328.	使	1832
329.	萧	1831
330.	园	1830
331.	灵	1827
332.	疏	1822
333.	堂	1820
334.	主	1812
335.	吾	1809
336.	州	1797
337.	寄	1787
338.	川	1785
339.	窗	1777
340.	帝	1762
341.	舞	1762
342.	火	1757
343.	穷	1752
344.	其	1752
345.	秦	1747
346.	觉	1737
347.	太	1733
348.	足	1730
349.	节	1725
350.	手	1713
351.	皆	1709
352.	死	1706
353.	乱	1703
354.	兴	1703
355.	昔	1697
356.	僧	1691
357.	悠	1677
358.	亲	1672
359.	暗	1670
360.	迟	1666
361.	带	1665
362.	霞	1661
363.	始	1660
364.	休	1655
365.	往	1650
366.	待	1649
367.	田	1641
368.	凉	1638
369.	容	1638
370.	于	1630
371.	阁	1623
372.	罗	1618
373.	画	1616
374.	晴	1614
375.	珠	1609
376.	信	1608
377.	兮	1603
378.	会	1600
379.	湖	1597
380.	虽	1595
381.	兰	1593
382.	剑	1581
383.	首	1579
384.	燕	1573
385.	隔	1570
386.	度	1565
387.	辞	1563
388.	尚	1562
389.	桃	1560
390.	胜	1558
391.	逐	1552
392.	斜	1551
393.	洞	1550
394.	识	1545
395.	功	1538
396.	隐	1537
397.	征	1536
398.	直	1533
399.	群	1525
400.	移	1524
401.	士	1521
402.	夫	1513
403.	余	1507
404.	绕	1503
405.	岸	1500
406.	亭	1499
407.	儿	1497
408.	谢	1495
409.	步	1492
410.	圣	1490
411.	含	1489
412.	浪	1476
413.	伤	1474
414.	杯	1470
415.	贤	1467
416.	倚	1467
417.	丝	1465
418.	寺	1465
419.	令	1463
420.	争	1462
421.	愿	1459
422.	颜	1457
423.	徒	1456
424.	欢	1451
425.	胡	1444
426.	学	1434
427.	军	1428
428.	师	1423
429.	羽	1421
430.	琴	1419
431.	结	1419
432.	卧	1418
433.	郎	1414
434.	尔	1411
435.	立	1409
436.	眼	1408
437.	解	1405
438.	拂	1401
439.	荒	1394
440.	朱	1390
441.	桂	1388
442.	疑	1386
443.	皇	1385
444.	忧	1385
445.	贵	1384
446.	馀	1382
447.	吴	1368
448.	锦	1367
449.	横	1361
450.	便	1361
451.	殿	1359
452.	镜	1359
453.	翻	1359
454.	飘	1358
455.	用	1357
456.	化	1354
457.	啼	1347
458.	交	1346
459.	食	1343
460.	药	1333
461.	易	1326
462.	迹	1325
463.	薄	1325
464.	钟	1321
465.	定	1321
466.	骑	1314
467.	塞	1312
468.	命	1308
469.	乘	1301
470.	异	1300
471.	卷	1295
472.	灯	1294
473.	栖	1291
474.	说	1290
475.	惜	1285
476.	力	1281
477.	映	1280
478.	苔	1280
479.	喜	1278
480.	岩	1274
481.	劳	1274
482.	求	1274
483.	兵	1274
484.	忘	1270
485.	臣	1254
486.	德	1252
487.	谷	1251
488.	猿	1250
489.	船	1250
490.	弦	1249
491.	著	1243
492.	饮	1238
493.	音	1236
494.	及	1234
495.	本	1222
496.	杨	1221
497.	洛	1219
498.	径	1218
499.	教	1218
500.	念	1214
501.	冷	1205
502.	遗	1203
503.	暖	1200
504.	六	1199
505.	细	1195
506.	稀	1195
507.	由	1190
508.	斗	1189
509.	湘	1189
510.	素	1187
511.	荣	1183
512.	他	1181
513.	干	1179
514.	折	1171
515.	迎	1169
516.	口	1167
517.	偏	1165
518.	贫	1165
519.	衰	1164
520.	感	1162
521.	阙	1161
522.	魂	1161
523.	低	1159
524.	条	1155
525.	摇	1153
526.	惟	1152
527.	即	1148
528.	住	1146
529.	都	1145
530.	侯	1144
531.	面	1142
532.	顾	1134
533.	眠	1134
534.	梁	1129
535.	渐	1126
536.	极	1125
537.	桥	1122
538.	章	1120
539.	鬓	1120
540.	玄	1118
541.	但	1118
542.	引	1117
543.	轩	1114
544.	息	1106
545.	蓬	1103
546.	彩	1101
547.	报	1101
548.	八	1100
549.	掩	1099
550.	取	1095
551.	怅	1090
552.	莲	1085
553.	论	1085
554.	鼓	1085
555.	目	1085
556.	良	1084
557.	骨	1083
558.	越	1082
559.	缘	1082
560.	片	1081
561.	频	1075
562.	战	1072
563.	元	1071
564.	帘	1071
565.	邻	1071
566.	变	1069
567.	破	1069
568.	禅	1069
569.	暂	1063
570.	想	1061
571.	持	1055
572.	倾	1055
573.	宁	1055
574.	李	1052
575.	纷	1050
576.	美	1047
577.	齐	1047
578.	宜	1046
579.	武	1045
580.	鸡	1044
581.	守	1035
582.	接	1034
583.	傍	1031
584.	凝	1030
585.	帆	1029
586.	悬	1028
587.	载	1027
588.	迷	1024
589.	枕	1022
590.	冰	1021
591.	叹	1019
592.	户	1017
593.	洲	1014
594.	村	1014
595.	罢	1012
596.	虎	1012
597.	钓	1011
598.	盘	1010
599.	莺	1008
600.	礼	1008
601.	土	1007
602.	泥	1004
603.	伴	1003
604.	必	996
605.	失	996
606.	京	990
607.	佳	990
608.	昏	985
609.	眉	985
610.	许	985
611.	沧	983
612.	任	980
613.	井	980
614.	永	978
615.	采	976
616.	沉	971
617.	俗	970
618.	宝	968
619.	沈	963
620.	敢	962
621.	张	960
622.	内	959
623.	岭	956
624.	郡	956
625.	精	955
626.	字	954
627.	携	953
628.	根	952
629.	鸿	949
630.	肠	943
631.	梅	942
632.	狂	942
633.	御	941
634.	收	939
635.	床	937
636.	原	930
637.	尊	929
638.	浦	928
639.	管	926
640.	诸	924
641.	急	922
642.	壁	919
643.	室	918
644.	每	918
645.	冥	914
646.	既	912
647.	仍	910
648.	幸	907
649.	渔	907
650.	蝉	906
651.	指	906
652.	观	903
653.	晨	903
654.	全	902
655.	举	901
656.	恐	901
657.	那	900
658.	藏	899
659.	冠	895
660.	吏	892
661.	侵	891
662.	七	889
663.	岳	888
664.	银	885
665.	称	884
666.	雄	880
667.	最	880
668.	机	878
669.	茫	877
670.	夏	876
671.	封	875
672.	理	875
673.	尺	874
674.	繁	873
675.	府	873
676.	阶	872
677.	众	867
678.	周	866
679.	旗	862
680.	性	862
681.	积	860
682.	旌	854
683.	遇	851
684.	雾	849
685.	形	842
686.	兼	841
687.	寥	840
688.	把	838
689.	赏	837
690.	比	836
691.	湿	836
692.	况	836
693.	英	835
694.	惭	834
695.	闭	834
696.	兹	833
697.	竟	832
698.	殊	831
699.	烛	827
700.	渡	826
701.	扬	823
702.	销	823
703.	角	822
704.	乃	819
705.	哀	819
706.	计	818
707.	危	817
708.	泛	817
709.	种	817
710.	攀	816
711.	笔	814
712.	盛	811
713.	被	811
714.	点	808
715.	房	807
716.	图	805
717.	陈	805
718.	昨	803
719.	喧	802
720.	赋	800
721.	荷	799
722.	凄	798
723.	消	797
724.	斋	797
725.	孙	796
726.	怨	794
727.	翁	794
728.	端	793
729.	绣	793
730.	涯	793
731.	承	792
732.	负	788
733.	乌	788
734.	抱	787
735.	句	785
736.	没	782
737.	嗟	781
738.	调	779
739.	舍	779
740.	惆	778
741.	郊	777
742.	凭	775
743.	泽	774
744.	鸾	773
745.	桑	771
746.	纵	770
747.	列	769
748.	丛	769
749.	业	769
750.	遍	768
751.	并	768
752.	走	767
753.	宵	766
754.	粉	765
755.	题	765
756.	遂	764
757.	凌	763
758.	宴	763
759.	拜	763
760.	蜀	762
761.	轮	761
762.	荆	760
763.	枯	759
764.	苑	758
765.	象	757
766.	修	757
767.	屋	757
768.	势	756
769.	席	756
770.	浅	756
771.	牛	756
772.	催	756
773.	各	754
774.	童	752
775.	艳	751
776.	奇	750
777.	参	750
778.	瑶	749
779.	再	748
780.	代	748
781.	第	747
782.	词	745
783.	□	744
784.	甘	742
785.	营	742
786.	漏	739
787.	肯	735
788.	偶	735
789.	志	734
790.	旅	734
791.	雷	731
792.	赤	729
793.	馆	727
794.	烧	726
795.	禁	724
796.	笼	723
797.	放	723
798.	咏	722
799.	丘	722
800.	潮	721
801.	短	721
802.	绮	720
803.	毛	720
804.	访	719
805.	津	719
806.	驱	715
807.	勤	715
808.	强	712
809.	禽	711
810.	筵	706
811.	盈	703
812.	沾	703
813.	扫	703
814.	霄	703
815.	炉	702
816.	降	700
817.	塘	699
818.	程	698
819.	弄	696
820.	挂	696
821.	滴	695
822.	盖	690
